金额,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,所在区域
65.8,3室2厅1厨2卫,中楼层 (共33层),137.0,平层,,板塔结合,东南,钢混结构,毛坯,两梯四户,有,天元区
79.8,3室2厅1厨2卫,高楼层 (共18层),146.98,平层,125.03,板塔结合,南 北,钢混结构,精装,一梯两户,有,天元区
55.0,3室2厅1厨2卫,中楼层 (共29层),113.84,平层,,塔楼,东南,钢混结构,毛坯,十五梯九户,有,天元区
58.0,4室2厅1厨2卫,高楼层 (共18层),131.0,平层,115.0,,南,未知结构,毛坯,一梯两户,无,荷塘区
45.8,3室2厅1厨2卫,中楼层 (共18层),113.5,错层,97.53,板塔结合,东南,钢混结构,精装,两梯四户,有,天元区
52.0,3室2厅1厨2卫,低楼层 (共18层),130.0,平层,,塔楼,东南,钢混结构,精装,一梯三户,无,荷塘区
53.8,4室2厅1厨1卫,高楼层 (共6层),107.7,平层,96.73,板楼,南,钢混结构,精装,一梯两户,无,荷塘区
95.0,4室2厅1厨2卫,中楼层 (共33层),150.0,平层,,板塔结合,东南,钢混结构,精装,两梯四户,有,天元区
36.0,3室2厅1厨2卫,中楼层 (共18层),134.05,平层,114.96,,东 南 北,未知结构,毛坯,两梯四户,有,石峰区
62.6,3室2厅1厨2卫,高楼层 (共25层),140.78,平层,115.15,板塔结合,南,砖混结构,精装,两梯四户,有,荷塘区
69.8,4室2厅1厨2卫,中楼层 (共15层),122.0,平层,,塔楼,南,钢混结构,精装,两梯六户,有,芦淞区
45.8,3室2厅1厨2卫,高楼层 (共18层),86.3,平层,,塔楼,南,钢混结构,精装,一梯两户,无,荷塘区
24.5,2室1厅1厨1卫,中楼层 (共32层),47.53,平层,35.98,板塔结合,南,钢混结构,精装,四梯十七户,有,荷塘区
79.0,4室1厅1厨2卫,低楼层 (共32层),138.0,平层,,板楼,东南,钢混结构,毛坯,两梯三户,有,天元区
68.0,3室2厅1厨2卫,低楼层 (共33层),125.78,平层,,,南,钢混结构,毛坯,一梯三户,无,天元区
27.4,3室2厅1厨1卫,高楼层 (共7层),88.0,平层,,板楼,南 北,钢混结构,精装,一梯两户,无,天元区
72.8,4室2厅1厨2卫,中楼层 (共7层),180.41,错层,166.41,板楼,东南,钢混结构,精装,一梯三户,无,天元区
73.8,4室2厅1厨2卫,中楼层 (共31层),122.52,平层,,板楼,东,钢混结构,精装,两梯四户,有,天元区
56.0,3室2厅1厨2卫,高楼层 (共19层),134.0,平层,,板楼,南 北,钢混结构,精装,一梯五户,有,芦淞区
70.0,3室2厅1厨2卫,中楼层 (共31层),122.0,平层,97.27,板塔结合,南,钢混结构,精装,两梯四户,有,天元区
47.0,3室2厅1厨2卫,低楼层 (共17层),130.54,平层,113.3,板塔结合,东南,钢混结构,简装,两梯四户,有,天元区
66.0,4室2厅1厨2卫,高楼层 (共28层),130.94,平层,,板楼,南 北,框架结构,毛坯,两梯三户,有,天元区
78.0,3室2厅1厨2卫,高楼层 (共26层),139.0,平层,,板塔结合,南,钢混结构,精装,两梯三户,有,芦淞区
104.0,3室1厅1厨2卫,高楼层 (共34层),142.11,平层,,板楼,南,钢混结构,精装,两梯四户,有,天元区
33.0,3室2厅1厨1卫,中楼层 (共7层),127.0,平层,,,南,混合结构,精装,一梯两户,无,荷塘区
65.0,4室2厅1厨3卫,高楼层 (共8层),194.1,复式,,板楼,北 南,砖混结构,精装,一梯两户,无,天元区
60.8,3室2厅1厨2卫,中楼层 (共34层),101.0,平层,100.0,板塔结合,东南,钢混结构,精装,两梯四户,有,天元区
46.8,3室1厅1厨2卫,高楼层 (共11层),128.0,平层,,板塔结合,南,钢混结构,精装,一梯两户,有,天元区
52.8,2室2厅1厨1卫,中楼层 (共25层),88.68,平层,72.88,板塔结合,南,钢混结构,精装,两梯四户,有,天元区
25.0,1室1厅1厨1卫,中楼层 (共32层),42.0,平层,,板塔结合,南,钢混结构,精装,四梯十六户,有,天元区
51.8,3室2厅1厨2卫,中楼层 (共16层),118.0,平层,82.5,板楼,东南,钢混结构,精装,两梯四户,有,石峰区
29.8,1室0厅1厨1卫,高楼层 (共30层),50.01,平层,37.59,塔楼,南 北,钢混结构,精装,四梯十八户,有,天元区
54.2,2室1厅1厨1卫,高楼层 (共32层),82.9,平层,68.61,板塔结合,东南,钢混结构,精装,两梯六户,有,天元区
41.5,2室1厅1厨1卫,中楼层 (共4层),88.13,平层,78.48,板楼,南 北,钢混结构,精装,一梯两户,无,荷塘区
28.0,1室1厅1厨1卫,高楼层 (共28层),51.47,平层,35.89,塔楼,南,钢混结构,精装,七梯十六户,有,天元区
48.0,2室1厅1厨1卫,低楼层 (共30层),85.0,平层,85.0,塔楼,南 北,钢混结构,精装,一梯三户,无,荷塘区
38.8,2室2厅1厨1卫,低楼层 (共8层),105.3,平层,95.92,板楼,南,钢混结构,精装,一梯两户,无,天元区
85.0,4室2厅1厨2卫,低楼层 (共33层),132.77,平层,105.2,,南,钢混结构,精装,两梯三户,有,荷塘区
58.0,3室2厅1厨2卫,低楼层 (共18层),125.91,平层,101.4,板楼,东南,钢混结构,精装,两梯六户,有,荷塘区
62.0,3室2厅1厨2卫,低楼层 (共20层),146.0,平层,123.3,塔楼,南,钢混结构,简装,两梯四户,有,天元区
62.0,4室2厅1厨2卫,低楼层 (共14层),174.42,错层,,塔楼,南 北,钢混结构,精装,一梯两户,有,芦淞区
49.8,3室1厅1厨2卫,中楼层 (共29层),84.52,平层,,板塔结合,东南,钢混结构,精装,三梯六户,有,天元区
56.8,3室2厅1厨2卫,高楼层 (共19层),132.0,错层,,板楼,南,钢混结构,精装,一梯五户,有,芦淞区
56.0,3室2厅1厨2卫,中楼层 (共32层),110.74,平层,84.0,板塔结合,南 北,钢混结构,毛坯,一梯三户,无,荷塘区
113.0,5室2厅1厨3卫,中楼层 (共18层),223.0,复式,,板塔结合,南 北,钢混结构,精装,一梯三户,有,天元区
66.8,4室2厅1厨2卫,高楼层 (共11层),179.0,复式,175.0,板塔结合,南,钢混结构,精装,一梯两户,无,天元区
55.8,3室2厅1厨2卫,高楼层 (共15层),130.56,错层,,板楼,南,钢混结构,精装,一梯两户,有,天元区
83.0,4室2厅1厨1卫,中楼层 (共25层),138.45,平层,111.93,塔楼,南,钢混结构,精装,两梯四户,有,芦淞区
95.0,4室2厅1厨2卫,中楼层 (共30层),138.0,平层,83.96,板塔结合,南,钢混结构,精装,两梯四户,有,荷塘区
37.8,1室1厅1厨1卫,高楼层 (共29层),61.43,平层,45.12,塔楼,东南,钢混结构,精装,四梯十八户,有,天元区
39.8,3室2厅1厨1卫,高楼层 (共18层),96.5,平层,86.0,,南,钢混结构,精装,一梯五户,无,荷塘区
46.9,4室2厅1厨2卫,低楼层 (共7层),157.77,平层,,,东南,未知结构,精装,一梯两户,无,荷塘区
21.0,2室2厅1厨1卫,低楼层 (共7层),76.29,平层,76.29,板楼,南 北,钢混结构,精装,一梯两户,无,荷塘区
82.8,3室2厅1厨2卫,中楼层 (共26层),142.0,平层,120.0,板楼,南,钢混结构,精装,一梯三户,无,芦淞区
72.8,3室2厅1厨2卫,低楼层 (共26层),134.34,平层,105.98,塔楼,南,钢混结构,精装,两梯三户,有,荷塘区
89.8,4室2厅1厨2卫,高楼层 (共33层),132.77,平层,,,东南,钢混结构,精装,两梯三户,有,荷塘区
15.8,1室1厅1厨1卫,高楼层 (共26层),42.54,平层,31.93,板塔结合,南,框架结构,精装,三梯四十三户,有,荷塘区
64.8,3室1厅1厨2卫,低楼层 (共31层),111.0,平层,108.0,板塔结合,南,框架结构,精装,一梯十四户,无,天元区
68.8,3室1厅1厨1卫,高楼层 (共33层),98.81,平层,,板塔结合,南,砖混结构,精装,两梯六户,有,天元区
50.0,3室2厅1厨2卫,中楼层 (共18层),133.11,平层,112.89,,南 北,未知结构,精装,一梯两户,有,石峰区
79.5,3室2厅1厨1卫,中楼层 (共32层),92.95,平层,,,南,未知结构,精装,一梯四户,无,天元区
51.8,3室2厅1厨2卫,中楼层 (共6层),137.0,平层,120.73,塔楼,东南,钢混结构,简装,一梯两户,无,荷塘区
54.0,3室2厅1厨2卫,中楼层 (共14层),142.82,平层,135.0,板楼,南,混合结构,精装,两梯两户,有,荷塘区
77.8,3室2厅1厨2卫,高楼层 (共29层),128.42,平层,110.0,,南,未知结构,精装,一梯四户,无,荷塘区
98.8,4室2厅1厨2卫,高楼层 (共32层),143.19,平层,143.19,塔楼,南,钢混结构,精装,两梯四户,有,天元区
88.0,4室2厅1厨2卫,低楼层 (共32层),128.0,平层,,,南,未知结构,毛坯,一梯四户,无,天元区
67.5,3室2厅1厨2卫,中楼层 (共33层),113.02,平层,90.49,,南,未知结构,精装,一梯八户,无,荷塘区
112.0,3室2厅1厨2卫,中楼层 (共26层),118.0,平层,,板塔结合,北 南,钢混结构,精装,两梯四户,有,天元区
95.0,4室2厅1厨2卫,中楼层 (共30层),128.51,平层,,,南,未知结构,毛坯,一梯四户,无,天元区
76.8,3室2厅1厨2卫,高楼层 (共33层),112.04,平层,,,南 北,未知结构,精装,一梯四户,无,天元区
73.8,3室2厅1厨2卫,中楼层 (共26层),127.33,平层,,,东南,未知结构,精装,一梯四户,无,石峰区
139.8,5室1厅2厨3卫,中楼层 (共5层),143.0,,,,南 西南,未知结构,毛坯,其他,无,芦淞区
75.8,3室1厅1厨2卫,中楼层 (共33层),111.51,平层,,,东南,未知结构,精装,一梯四户,无,荷塘区
56.0,3室2厅1厨1卫,高楼层 (共18层),114.0,平层,,板楼,南 北,钢混结构,简装,一梯三户,无,荷塘区
71.0,3室2厅1厨2卫,高楼层 (共32层),121.0,平层,,板塔结合,南,钢混结构,精装,两梯三户,有,天元区
48.0,3室1厅1厨1卫,中楼层 (共28层),99.0,平层,,板塔结合,南,钢混结构,毛坯,两梯四户,有,天元区
67.8,3室2厅1厨2卫,低楼层 (共24层),116.0,平层,,板塔结合,东 东南 南,钢混结构,精装,两梯四户,有,天元区
65.8,3室2厅1厨2卫,中楼层 (共27层),125.0,平层,,,南,未知结构,毛坯,两梯四户,有,天元区
67.8,3室1厅1厨2卫,中楼层 (共33层),112.83,平层,,板塔结合,南,钢混结构,毛坯,两梯四户,有,天元区
39.8,3室1厅1厨1卫,低楼层 (共7层),75.0,平层,,,南,未知结构,精装,一梯四户,无,天元区
90.0,4室1厅1厨2卫,高楼层 (共34层),136.8,平层,,板塔结合,南,钢混结构,精装,一梯四户,无,荷塘区
271.0,5室2厅1厨2卫,高楼层 (共30层),286.0,平层,,板塔结合,南,钢混结构,精装,十梯两户,有,天元区
65.0,3室2厅1厨2卫,高楼层 (共32层),120.0,平层,,,南,未知结构,精装,一梯四户,无,石峰区
73.8,4室1厅1厨2卫,中楼层 (共26层),133.99,平层,,,南,未知结构,精装,两梯四户,有,石峰区
53.8,2室2厅1厨1卫,高楼层 (共23层),84.91,平层,,板塔结合,南 北,钢混结构,精装,两梯六户,有,芦淞区
33.8,2室1厅1厨1卫,中楼层 (共30层),74.05,平层,68.0,板塔结合,南,钢混结构,简装,三梯七户,有,芦淞区
78.0,4室2厅1厨2卫,中楼层 (共14层),159.39,平层,,塔楼,南 北,钢混结构,精装,一梯两户,有,天元区
49.8,3室1厅1厨2卫,高楼层 (共31层),97.08,平层,,板塔结合,南,钢混结构,毛坯,两梯四户,有,天元区
43.8,3室2厅1厨1卫,低楼层 (共7层),114.72,平层,,塔楼,东南,钢混结构,精装,一梯两户,无,芦淞区
52.8,3室2厅1厨1卫,高楼层 (共18层),107.0,平层,,板楼,南,钢混结构,精装,一梯两户,有,天元区
45.0,3室2厅1厨2卫,中楼层 (共7层),131.0,平层,,板楼,东南,钢混结构,精装,一梯两户,无,天元区
73.6,3室2厅1厨1卫,低楼层 (共31层),113.77,平层,,板楼,南,框架结构,精装,一梯三户,无,天元区
45.0,2室2厅1厨1卫,低楼层 (共7层),85.76,平层,,板楼,南 北,钢混结构,精装,一梯两户,无,天元区
24.3,2室1厅1厨1卫,中楼层 (共7层),54.77,平层,,板塔结合,南 北,混合结构,简装,一梯两户,无,天元区
40.8,3室2厅1厨2卫,中楼层 (共7层),129.48,平层,,板楼,南,混合结构,精装,一梯两户,无,荷塘区
62.8,3室2厅1厨2卫,高楼层 (共15层),135.51,平层,135.51,板塔结合,南,钢混结构,精装,一梯两户,有,芦淞区
57.8,3室1厅1厨2卫,中楼层 (共32层),118.0,平层,,板楼,南 北,未知结构,毛坯,两梯四户,有,荷塘区
53.8,3室2厅1厨2卫,低楼层 (共31层),116.9,平层,,板楼,南,钢混结构,精装,两梯四户,有,天元区
106.8,4室2厅1厨2卫,高楼层 (共33层),150.56,平层,121.44,塔楼,南 北,钢混结构,精装,两梯三户,有,天元区
8.6,2室1厅1厨1卫,高楼层 (共7层),60.0,平层,,,南,未知结构,简装,一梯两户,无,石峰区
22.8,1室1厅1厨1卫,中楼层 (共33层),54.01,平层,44.18,板塔结合,南 北,钢混结构,精装,两梯五户,有,石峰区
53.5,3室2厅1厨2卫,中楼层 (共32层),106.24,平层,,板塔结合,南 北,钢混结构,精装,三梯六户,有,荷塘区
29.8,3室1厅1厨2卫,高楼层 (共6层),101.33,平层,,,东,未知结构,精装,一梯两户,无,芦淞区
49.8,3室1厅1厨1卫,中楼层 (共12层),137.21,平层,116.33,板楼,南,钢混结构,简装,一梯两户,有,天元区
20.0,1室1厅1厨1卫,低楼层 (共17层),55.0,平层,,塔楼,南,钢混结构,精装,两梯十六户,有,芦淞区
19.0,1室1厅1厨1卫,高楼层 (共31层),37.85,平层,,塔楼,东,钢混结构,精装,四梯十八户,有,天元区
26.5,2室2厅1厨1卫,低楼层 (共7层),68.28,平层,,板楼,南 北,钢混结构,简装,一梯两户,无,天元区
19.0,2室1厅1厨1卫,低楼层 (共8层),65.0,平层,,,东南,未知结构,精装,一梯两户,无,芦淞区
16.0,2室2厅1厨1卫,中楼层 (共5层),61.7,平层,,板塔结合,南,钢混结构,简装,一梯三户,无,芦淞区
44.8,3室2厅1厨1卫,低楼层 (共8层),110.71,平层,,板楼,南,混合结构,精装,一梯两户,无,天元区
60.0,2室2厅1厨1卫,低楼层 (共32层),98.0,平层,,板楼,东南,钢混结构,精装,两梯三户,有,荷塘区
75.8,4室2厅1厨2卫,高楼层 (共27层),139.5,平层,,板塔结合,南,钢混结构,精装,二十梯四户,有,荷塘区
36.2,3室1厅1厨1卫,中楼层 (共16层),45.27,复式,,板塔结合,南,钢混结构,精装,两梯十八户,有,天元区
62.8,3室2厅1厨1卫,高楼层 (共17层),102.34,平层,,塔楼,南,钢混结构,精装,一梯三户,无,荷塘区
51.8,2室2厅1厨1卫,中楼层 (共18层),92.0,平层,,塔楼,南,钢混结构,精装,两梯三户,有,荷塘区
54.8,3室2厅1厨2卫,低楼层 (共6层),129.29,平层,118.01,塔楼,南 西,钢混结构,精装,一梯两户,无,荷塘区
31.8,2室2厅1厨1卫,低楼层 (共30层),98.62,平层,,,南,钢混结构,毛坯,一梯三户,无,天元区
19.8,2室1厅1厨1卫,低楼层 (共22层),62.75,平层,,板塔结合,南 北,钢混结构,精装,六梯二十四户,有,荷塘区
73.8,3室1厅1厨2卫,中楼层 (共26层),131.37,平层,105.56,塔楼,南,钢混结构,精装,两梯三户,有,荷塘区
96.9,4室2厅1厨2卫,中楼层 (共4层),157.0,复式,,,南,未知结构,毛坯,一梯一户,无,石峰区
79.8,4室2厅1厨2卫,中楼层 (共33层),132.77,平层,,,南 北,钢混结构,精装,两梯三户,有,荷塘区
120.0,3室2厅1厨2卫,中楼层 (共29层),113.26,平层,,,南,钢混结构,精装,一梯四户,无,天元区
42.8,2室1厅1厨1卫,低楼层 (共32层),79.52,平层,,塔楼,东南,钢混结构,精装,两梯六户,有,天元区
74.8,3室1厅1厨2卫,中楼层 (共31层),119.37,平层,,,东南,钢混结构,精装,一梯三户,无,荷塘区
19.8,2室1厅1厨1卫,高楼层 (共26层),43.28,平层,32.79,板塔结合,东,框架结构,精装,三梯四十三户,有,荷塘区
59.8,3室2厅1厨2卫,高楼层 (共33层),111.8,,,板楼,东南,钢混结构,精装,两梯四户,有,石峰区
65.0,5室3厅1厨3卫,高楼层 (共13层),234.07,,230.0,板楼,南 北,钢混结构,简装,一梯两户,有,荷塘区
68.0,3室1厅1厨2卫,中楼层 (共13层),156.0,平层,,板楼,东北,钢混结构,精装,一梯三户,有,荷塘区
66.0,3室2厅1厨2卫,中楼层 (共8层),127.7,平层,,,南 北,未知结构,精装,一梯两户,无,天元区
190.0,5室2厅1厨3卫,低楼层 (共3层),223.31,,,,南,未知结构,毛坯,一梯一户,无,株洲县
20.0,1室1厅1厨1卫,高楼层 (共21层),50.05,,,板塔结合,东南,未知结构,毛坯,三梯十二户,有,天元区
65.0,3室2厅1厨2卫,高楼层 (共33层),115.0,平层,,板楼,南,钢混结构,精装,两梯四户,有,石峰区
70.0,4室2厅1厨2卫,低楼层 (共28层),154.47,平层,126.9,塔楼,东南,钢混结构,其他,两梯七户,有,天元区
76.9,3室2厅1厨2卫,高楼层 (共32层),138.46,平层,138.0,板塔结合,东南,钢混结构,毛坯,两梯两户,有,天元区
72.0,3室2厅1厨2卫,高楼层 (共32层),129.95,平层,,板塔结合,南,框架结构,毛坯,两梯三户,有,天元区
120.8,4室2厅2厨2卫,高楼层 (共6层),203.0,复式,200.0,塔楼,东南,钢混结构,精装,一梯两户,无,荷塘区
78.0,3室1厅1厨2卫,中楼层 (共13层),136.13,错层,117.03,板楼,南 北,钢混结构,精装,一梯两户,无,天元区
41.8,3室2厅1厨2卫,高楼层 (共7层),138.5,复式,125.13,板塔结合,南 北,砖混结构,精装,一梯两户,无,天元区
99.8,4室1厅1厨2卫,中楼层 (共31层),150.01,平层,112.0,板楼,东南,钢混结构,毛坯,一梯两户,无,天元区
93.5,6室3厅2厨4卫,高楼层 (共28层),203.0,复式,203.0,板楼,东南,钢混结构,毛坯,两梯四户,有,天元区
368.0,5室1厅1厨4卫,低楼层 (共3层),270.0,,,,南 北,混合结构,毛坯,其他,无,天元区
308.0,5室2厅1厨3卫,低楼层 (共4层),329.68,,,,东,未知结构,毛坯,其他,无,天元区
94.0,4室2厅1厨2卫,高楼层 (共17层),151.0,平层,140.56,板塔结合,南 北,框架结构,精装,一梯三户,无,天元区
42.0,3室1厅1厨2卫,高楼层 (共7层),130.05,平层,119.18,板塔结合,南,砖混结构,简装,一梯两户,无,天元区
73.9,4室1厅1厨2卫,中楼层 (共32层),140.29,平层,,板塔结合,南 北,框架结构,毛坯,两梯四户,有,天元区
560.0,16室2厅1厨6卫,低楼层 (共32层),1172.36,复式,1091.47,塔楼,南 北,钢混结构,精装,两梯一户,有,天元区
73.8,3室2厅1厨2卫,高楼层 (共32层),111.23,平层,,,南,未知结构,精装,一梯四户,无,荷塘区
260.0,8室4厅3厨3卫,低楼层 (共3层),382.74,复式,380.0,,东南,未知结构,精装,一梯一户,无,石峰区
70.0,6室2厅1厨3卫,高楼层 (共7层),219.29,复式,,板楼,南,混合结构,其他,一梯两户,无,芦淞区
195.0,8室2厅1厨4卫,低楼层 (共3层),257.2,,,,南,钢混结构,精装,其他,无,天元区
45.7,3室2厅1厨2卫,中楼层 (共7层),111.91,平层,102.0,板塔结合,东南,砖混结构,毛坯,一梯两户,无,天元区
45.0,3室2厅1厨2卫,高楼层 (共18层),109.36,平层,,板楼,南,混合结构,简装,一梯八户,无,石峰区
43.8,3室2厅1厨1卫,低楼层 (共7层),93.42,平层,,板楼,南,砖混结构,精装,一梯两户,无,天元区
71.8,3室2厅1厨2卫,低楼层 (共34层),131.98,平层,,板塔结合,东南,钢混结构,毛坯,两梯四户,有,天元区
55.0,3室2厅1厨2卫,低楼层 (共8层),119.38,平层,109.4,板塔结合,南,钢混结构,精装,一梯两户,无,天元区
105.0,4室2厅1厨2卫,高楼层 (共18层),160.86,平层,141.52,板塔结合,南,框架结构,精装,一梯两户,有,天元区
107.0,4室2厅1厨2卫,中楼层 (共33层),141.05,平层,,塔楼,南 北,钢混结构,毛坯,两梯三户,有,天元区
70.6,3室2厅1厨2卫,低楼层 (共31层),121.66,平层,,板塔结合,南,框架结构,毛坯,两梯四户,有,天元区
61.0,4室2厅1厨2卫,高楼层 (共31层),122.11,平层,,,东南,未知结构,毛坯,一梯三户,无,天元区
71.8,4室2厅1厨2卫,中楼层 (共32层),124.92,平层,,板塔结合,东南,钢混结构,毛坯,两梯十户,有,天元区
51.8,3室2厅1厨2卫,中楼层 (共33层),110.0,平层,,塔楼,东南,钢混结构,毛坯,两梯四户,有,石峰区
49.0,2室2厅1厨1卫,高楼层 (共29层),88.87,平层,,塔楼,南,钢混结构,毛坯,两梯九户,有,天元区
56.8,2室1厅1厨1卫,低楼层 (共25层),83.46,平层,,,南,钢混结构,精装,一梯八户,无,荷塘区
57.5,3室2厅1厨2卫,高楼层 (共33层),127.9,平层,,板楼,南,钢混结构,毛坯,两梯四户,有,天元区
28.0,1室1厅1厨1卫,中楼层 (共33层),46.08,平层,,板塔结合,南,钢混结构,精装,两梯四户,有,天元区
65.8,3室2厅1厨2卫,低楼层 (共27层),110.11,平层,,,南,钢混结构,毛坯,一梯四户,无,荷塘区
75.0,3室2厅1厨2卫,高楼层 (共18层),119.83,平层,,板塔结合,东,钢混结构,精装,两梯三户,有,天元区
72.6,4室2厅1厨2卫,高楼层 (共33层),120.51,平层,,塔楼,南,钢混结构,精装,三梯六户,有,天元区
75.8,3室2厅2厨1卫,低楼层 (共33层),133.66,平层,106.73,板塔结合,南,钢混结构,毛坯,两梯四户,有,天元区
72.8,3室2厅1厨2卫,高楼层 (共26层),139.0,平层,,塔楼,东南,钢混结构,精装,两梯三户,有,荷塘区
138.8,7室2厅1厨3卫,低楼层 (共29层),276.0,复式,,板塔结合,南 北,钢混结构,毛坯,两梯三户,有,天元区
63.0,3室1厅1厨2卫,高楼层 (共18层),123.7,平层,96.38,板楼,东南 南 北,钢混结构,毛坯,两梯两户,有,天元区
125.0,4室2厅1厨2卫,中楼层 (共33层),138.32,平层,106.7,塔楼,南,钢混结构,精装,两梯三户,有,天元区
118.0,5室2厅1厨2卫,低楼层 (共3层),332.9,复式,,,东南,未知结构,简装,一梯一户,无,荷塘区
329.0,6室4厅1厨5卫,低楼层 (共2层),450.41,,,,东南,未知结构,毛坯,其他,无,芦淞区
61.8,4室2厅1厨2卫,低楼层 (共14层),133.0,平层,,,南,未知结构,毛坯,一梯四户,无,荷塘区
66.8,3室2厅1厨2卫,中楼层 (共6层),129.86,平层,,板塔结合,南,钢混结构,精装,一梯两户,无,天元区
288.0,7室3厅1厨3卫,低楼层 (共4层),305.07,,301.5,,东南,钢混结构,精装,其他,无,天元区
40.6,3室2厅1厨2卫,中楼层 (共8层),117.81,平层,,塔楼,南 北,钢混结构,精装,一梯两户,有,醴陵市
72.8,3室2厅1厨2卫,中楼层 (共27层),112.56,平层,94.99,板塔结合,南,钢混结构,精装,两梯六户,有,天元区
30.8,3室2厅1厨1卫,高楼层 (共6层),87.87,平层,87.87,板楼,南,混合结构,简装,一梯两户,无,天元区
58.0,3室1厅1厨3卫,中楼层 (共12层),135.89,平层,,板楼,南,钢混结构,毛坯,一梯两户,有,芦淞区
72.0,4室2厅1厨2卫,低楼层 (共33层),132.78,平层,101.16,板塔结合,南,钢混结构,毛坯,三梯六户,有,天元区
74.5,4室2厅1厨2卫,中楼层 (共32层),124.95,平层,,板楼,南,钢混结构,毛坯,两梯三户,有,天元区
36.0,3室1厅1厨2卫,高楼层 (共6层),118.35,错层,,,南,未知结构,简装,一梯四户,无,天元区
32.0,2室2厅1厨1卫,中楼层 (共8层),84.37,平层,,板楼,南,砖混结构,精装,一梯两户,无,天元区
81.0,3室2厅1厨1卫,低楼层 (共31层),110.7,平层,,板塔结合,南,砖混结构,精装,两梯四户,有,天元区
108.0,4室1厅1厨2卫,高楼层 (共17层),166.0,平层,,板塔结合,南,钢混结构,毛坯,两梯四户,有,天元区
75.0,4室2厅1厨2卫,中楼层 (共32层),149.01,平层,,,南,未知结构,毛坯,一梯两户,无,天元区
103.8,4室2厅1厨2卫,高楼层 (共29层),167.89,平层,,,南 北,钢混结构,毛坯,两梯三户,有,天元区
69.8,3室1厅1厨2卫,高楼层 (共18层),145.0,平层,,板楼,东南,钢混结构,精装,两梯两户,有,天元区
69.8,3室1厅1厨2卫,中楼层 (共33层),115.88,平层,,板塔结合,南,钢混结构,精装,两梯四户,有,天元区
140.0,3室1厅1厨2卫,中楼层 (共33层),142.0,平层,,板塔结合,南,钢混结构,精装,两梯四户,有,天元区
52.0,3室2厅1厨2卫,中楼层 (共15层),118.96,平层,,塔楼,南,钢混结构,精装,一梯两户,有,芦淞区
95.0,4室2厅1厨3卫,低楼层 (共33层),173.63,平层,141.67,板塔结合,南,钢混结构,毛坯,两梯两户,有,天元区
45.0,3室2厅1厨2卫,高楼层 (共7层),108.87,平层,100.0,板楼,南,钢混结构,精装,一梯两户,无,天元区
