金额,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯
130.0,3室2厅1厨2卫,中楼层 (共17层),117.45,平层,98.1,板塔结合,南,钢混结构,精装,一梯六户,无
119.0,3室2厅1厨2卫,高楼层 (共18层),110.11,平层,,板楼,南 北,钢混结构,精装,两梯四户,有
88.0,3室2厅1厨1卫,高楼层 (共18层),114.79,平层,,板塔结合,南 北,钢混结构,毛坯,一梯五户,无
517.0,5室2厅1厨4卫,低楼层 (共2层),263.66,,,,南 北,钢混结构,毛坯,其他,无
108.0,3室2厅1厨1卫,低楼层 (共18层),97.53,平层,77.51,板塔结合,南 北,未知结构,精装,两梯六户,有
115.0,3室2厅1厨2卫,中楼层 (共11层),114.0,平层,,板塔结合,东南 西北,未知结构,简装,一梯四户,有
121.0,3室2厅1厨2卫,中楼层 (共14层),101.8,平层,84.4,板楼,南 北,钢混结构,其他,一梯六户,无
246.0,3室2厅1厨3卫,低楼层 (共2层),97.62,,,,南 北,未知结构,精装,其他,无
60.0,1室1厅1厨1卫,低楼层 (共18层),57.08,平层,,板塔结合,南,钢混结构,精装,两梯八户,有
59.0,1室2厅1厨1卫,中楼层 (共16层),69.63,平层,52.53,板楼,南,钢混结构,其他,两梯十八户,有
65.0,2室2厅1厨2卫,中楼层 (共18层),79.35,平层,65.66,板楼,北,钢混结构,毛坯,一梯六户,无
90.0,2室2厅1厨1卫,高楼层 (共26层),86.7,平层,68.69,板楼,西南,钢混结构,精装,一梯六户,无
112.0,4室2厅1厨2卫,中楼层 (共18层),96.96,平层,78.52,,南 北,未知结构,精装,两梯六户,有
79.0,2室2厅1厨1卫,低楼层 (共19层),77.36,平层,58.33,,南 北,未知结构,精装,一梯七户,无
85.0,2室1厅1厨1卫,高楼层 (共18层),81.33,平层,,塔楼,西南,未知结构,其他,一梯六户,无
63.0,1室2厅1厨1卫,高楼层 (共26层),64.42,平层,49.38,板楼,南,钢混结构,其他,两梯十户,有
85.0,2室1厅1厨1卫,低楼层 (共26层),72.67,平层,,板楼,南,钢混结构,精装,两梯八户,有
58.0,2室1厅1厨1卫,高楼层 (共22层),58.98,平层,,板塔结合,西北,钢混结构,其他,两梯七户,有
80.0,2室1厅1厨1卫,中楼层 (共23层),78.01,平层,,塔楼,东南 西南,框架结构,毛坯,两梯六户,有
117.0,3室2厅1厨1卫,中楼层 (共30层),117.0,平层,,板塔结合,南 北,未知结构,其他,两梯六户,有
156.0,3室2厅1厨2卫,低楼层 (共33层),128.0,平层,,塔楼,南,未知结构,其他,一梯四户,无
130.0,4室2厅1厨2卫,高楼层 (共17层),127.66,平层,,板楼,南 北,钢混结构,简装,一梯八户,无
90.0,2室2厅1厨1卫,低楼层 (共17层),91.0,平层,,,东 南 西 北,未知结构,毛坯,一梯一户,无
166.0,3室1厅1厨2卫,中楼层 (共25层),127.81,平层,,板塔结合,南 北,钢混结构,其他,两梯四户,有
60.0,1室1厅1厨1卫,低楼层 (共15层),59.7,平层,46.7,板塔结合,北,钢混结构,精装,两梯六户,有
68.8,2室1厅1厨1卫,低楼层 (共11层),66.21,平层,54.9,板塔结合,西北 北,钢混结构,精装,一梯十户,无
33.0,1室0厅1厨1卫,低楼层 (共7层),43.62,平层,35.55,板塔结合,南,钢混结构,精装,一梯十一户,无
55.0,1室1厅1厨1卫,低楼层 (共11层),67.37,平层,,板塔结合,南,钢混结构,精装,一梯十一户,有
152.0,3室2厅1厨2卫,低楼层 (共16层),115.53,平层,91.65,,南,未知结构,精装,一梯三户,无
93.0,2室2厅1厨1卫,低楼层 (共18层),85.64,平层,,板楼,南,钢混结构,其他,两梯六户,有
85.0,2室2厅1厨1卫,中楼层 (共18层),76.0,平层,,板楼,南,未知结构,其他,一梯四户,无
98.0,2室2厅1厨1卫,低楼层 (共18层),85.1,平层,,板塔结合,南 北,钢混结构,精装,一梯四户,无
86.0,2室1厅1厨1卫,高楼层 (共18层),77.48,平层,,塔楼,西北,钢混结构,精装,两梯六户,有
88.0,2室2厅1厨1卫,低楼层 (共14层),79.8,平层,63.99,板塔结合,南,框架结构,精装,两梯六户,有
77.0,2室2厅1厨1卫,高楼层 (共18层),63.58,平层,51.25,板塔结合,南,钢混结构,其他,一梯六户,无
148.0,3室2厅1厨2卫,中楼层 (共26层),111.13,平层,,板楼,南 北,钢混结构,精装,两梯四户,有
81.0,2室2厅1厨1卫,中楼层 (共18层),76.47,平层,63.36,塔楼,东南,钢混结构,简装,两梯六户,有
318.0,4室2厅1厨3卫,低楼层 (共2层),185.86,,,板塔结合,南 北,钢混结构,毛坯,一梯十五户,无
152.0,4室2厅1厨2卫,中楼层 (共18层),144.07,平层,123.7,板楼,南 北,钢混结构,简装,两梯两户,有
95.0,3室2厅1厨1卫,高楼层 (共13层),118.73,平层,,板塔结合,南,钢混结构,其他,一梯八户,无
124.0,3室1厅1厨2卫,低楼层 (共16层),112.62,平层,,板塔结合,南,钢混结构,其他,两梯三户,有
146.0,3室2厅1厨2卫,低楼层 (共26层),104.39,平层,85.58,板楼,南,钢混结构,其他,两梯八户,有
97.5,3室2厅1厨2卫,低楼层 (共11层),114.63,平层,99.31,板塔结合,南 北,未知结构,简装,一梯四户,有
320.0,3室3厅1厨3卫,低楼层 (共2层),104.76,复式,104.76,,南 北,未知结构,其他,一梯一户,无
150.0,3室1厅1厨2卫,中楼层 (共16层),115.66,平层,,板塔结合,东南,钢混结构,其他,两梯三户,有
175.0,5室1厅1厨1卫,高楼层 (共15层),178.61,复式,143.96,板塔结合,北,钢混结构,毛坯,两梯三户,有
295.0,4室2厅1厨3卫,低楼层 (共3层),176.15,复式,,,南 北,未知结构,精装,一梯四户,无
550.0,4室2厅1厨3卫,低楼层 (共3层),241.02,复式,241.02,,东 南 西 北,未知结构,精装,一梯一户,无
480.0,5室3厅1厨6卫,低楼层 (共3层),256.18,,256.18,,东 南 西 北,未知结构,精装,其他,无
800.0,8室4厅3厨6卫,低楼层 (共3层),352.35,,,,东南,未知结构,其他,其他,无
310.0,3室2厅1厨2卫,低楼层 (共3层),170.31,复式,,,南,未知结构,其他,一梯一户,无
128.0,3室2厅1厨2卫,高楼层 (共18层),121.21,平层,102.67,板塔结合,东 南,钢混结构,精装,两梯三户,有
1600.0,5室2厅1厨4卫,低楼层 (共3层),326.58,复式,,,南,未知结构,其他,一梯一户,无
360.0,4室2厅1厨3卫,低楼层 (共3层),176.08,,,,南,钢混结构,精装,其他,无
990.0,5室3厅1厨4卫,低楼层 (共3层),256.0,,246.06,,东 南 西 北,未知结构,精装,其他,无
132.0,3室1厅1厨2卫,高楼层 (共31层),119.88,平层,,板楼,南 北,钢混结构,毛坯,两梯六户,有
168.0,6室1厅1厨3卫,高楼层 (共25层),128.0,跃层,,板塔结合,南 北,钢混结构,其他,两梯四户,有
110.0,2室1厅1厨1卫,低楼层 (共24层),87.09,平层,68.08,板塔结合,南,钢混结构,毛坯,一梯四户,无
116.0,3室2厅1厨2卫,高楼层 (共18层),94.56,平层,74.33,板塔结合,南 北,钢混结构,精装,两梯六户,有
115.0,4室2厅1厨1卫,高楼层 (共15层),122.89,平层,99.16,板塔结合,南 北,钢混结构,精装,一梯四户,无
480.0,5室2厅1厨5卫,低楼层 (共3层),253.17,,,,北,钢混结构,精装,其他,无
270.0,5室2厅1厨3卫,低楼层 (共6层),199.0,复式,,板塔结合,南 北,钢混结构,其他,一梯两户,无
213.0,3室2厅1厨1卫,低楼层 (共3层),148.61,复式,,板塔结合,北,钢混结构,毛坯,一梯八户,无
95.0,3室2厅1厨1卫,低楼层 (共12层),112.84,平层,,板塔结合,南,钢混结构,精装,一梯六户,无
430.0,5室2厅1厨3卫,低楼层 (共2层),316.0,复式,,,南 北,未知结构,毛坯,一梯十二户,无
160.0,5室2厅1厨2卫,高楼层 (共11层),136.7,跃层,112.51,板塔结合,南,钢混结构,简装,一梯两户,无
350.0,3室2厅1厨3卫,低楼层 (共2层),198.73,复式,,板塔结合,南,钢混结构,其他,一梯十七户,无
600.0,5室3厅1厨3卫,低楼层 (共3层),246.85,复式,246.85,,南 北,未知结构,简装,一梯一户,无
110.0,3室2厅1厨2卫,中楼层 (共18层),97.0,平层,97.0,,南 北,未知结构,简装,一梯六户,无
113.0,3室2厅1厨2卫,中楼层 (共18层),92.61,平层,75.19,板塔结合,南,框架结构,精装,两梯六户,有
460.0,5室3厅1厨4卫,低楼层 (共3层),280.77,,,,南 北,未知结构,其他,其他,无
60.0,1室1厅1厨1卫,中楼层 (共7层),66.15,平层,54.9,板塔结合,西北,钢混结构,精装,一梯十户,无
42.0,1室1厅1厨1卫,中楼层 (共16层),49.42,平层,37.28,板楼,南,钢混结构,简装,两梯十八户,有
52.0,1室2厅1厨1卫,中楼层 (共16层),69.63,平层,52.53,板楼,南,钢混结构,简装,两梯十八户,有
93.0,3室1厅1厨1卫,高楼层 (共33层),91.56,平层,,板塔结合,南,钢混结构,其他,一梯四户,无
125.0,3室1厅1厨1卫,中楼层 (共33层),109.0,平层,,板塔结合,南,钢混结构,精装,两梯五户,有
125.0,3室1厅1厨1卫,中楼层 (共33层),109.0,平层,,板塔结合,南,钢混结构,精装,两梯五户,有
118.0,3室2厅1厨1卫,高楼层 (共33层),108.67,平层,82.28,板塔结合,北,钢混结构,精装,两梯五户,有
90.0,2室1厅1厨1卫,中楼层 (共19层),83.61,平层,62.81,板塔结合,南,钢混结构,精装,两梯四户,有
108.0,2室2厅1厨1卫,高楼层 (共25层),73.76,平层,,板塔结合,东南,钢混结构,精装,一梯六户,无
95.0,2室2厅1厨1卫,低楼层 (共11层),89.98,平层,73.54,板楼,南 北,钢混结构,精装,一梯三户,有
88.0,2室2厅1厨1卫,高楼层 (共17层),81.17,平层,66.69,板塔结合,北,钢混结构,精装,一梯八户,无
87.0,2室1厅1厨1卫,中楼层 (共26层),86.7,平层,68.69,板楼,南 北,钢混结构,简装,两梯七户,有
95.0,2室2厅1厨1卫,中楼层 (共25层),78.0,平层,,板塔结合,东,钢混结构,其他,两梯七户,有
93.0,2室2厅1厨1卫,中楼层 (共33层),90.21,平层,,板塔结合,西南 东北,钢混结构,其他,两梯五户,有
90.0,2室2厅1厨1卫,中楼层 (共9层),97.87,平层,81.15,板塔结合,南 北,钢混结构,精装,一梯十户,无
105.0,2室2厅1厨1卫,中楼层 (共18层),86.13,平层,70.96,塔楼,西 南 东,钢混结构,简装,两梯六户,有
80.0,2室2厅1厨1卫,高楼层 (共14层),85.27,平层,68.13,板楼,南,钢混结构,毛坯,一梯五户,无
129.0,3室2厅1厨1卫,中楼层 (共18层),109.5,平层,89.94,板塔结合,南 北,钢混结构,精装,一梯四户,无
67.0,2室1厅1厨1卫,高楼层 (共12层),68.06,平层,57.36,板塔结合,南,钢混结构,简装,一梯六户,无
73.0,2室2厅1厨1卫,中楼层 (共18层),85.95,平层,,板塔结合,西,钢混结构,精装,一梯四户,无
91.0,2室2厅1厨1卫,低楼层 (共15层),90.28,平层,73.92,塔楼,东北,钢混结构,其他,一梯六户,无
100.0,2室2厅1厨1卫,中楼层 (共25层),73.44,平层,,板塔结合,北,钢混结构,其他,一梯六户,无
74.0,2室2厅1厨1卫,中楼层 (共31层),69.87,平层,,塔楼,西南,钢混结构,精装,两梯六户,有
85.0,2室2厅1厨1卫,低楼层 (共11层),90.8,平层,74.42,板塔结合,南,钢混结构,简装,一梯四户,无
80.0,2室2厅1厨1卫,高楼层 (共15层),86.2,平层,,塔楼,北,钢混结构,毛坯,两梯四户,有
279.0,4室2厅1厨3卫,低楼层 (共2层),171.56,,163.87,,南 北,钢混结构,毛坯,其他,无
77.0,2室2厅1厨1卫,中楼层 (共31层),77.55,平层,62.13,塔楼,北,钢混结构,毛坯,两梯六户,有
94.0,2室2厅1厨1卫,高楼层 (共18层),81.33,平层,66.5,塔楼,西南,未知结构,其他,两梯六户,有
80.0,2室2厅1厨1卫,中楼层 (共15层),75.64,平层,60.0,板塔结合,南 北,钢混结构,其他,一梯六户,无
90.0,2室2厅1厨1卫,低楼层 (共18层),81.85,平层,67.82,板塔结合,北,钢混结构,精装,两梯六户,有
115.0,2室2厅1厨1卫,低楼层 (共16层),111.0,平层,82.18,板塔结合,南,钢混结构,精装,一梯两户,无
83.0,2室2厅1厨1卫,低楼层 (共18层),76.64,平层,,板塔结合,东 东南,未知结构,精装,一梯六户,无
68.0,2室2厅1厨1卫,低楼层 (共18层),79.22,平层,65.8,板塔结合,东北,框架结构,毛坯,两梯六户,有
78.0,2室2厅1厨1卫,中楼层 (共18层),67.05,平层,50.17,板塔结合,南 北,钢混结构,精装,两梯八户,有
480.0,5室2厅1厨3卫,低楼层 (共4层),271.64,,261.96,,南,钢混结构,简装,其他,无
70.0,2室2厅1厨1卫,中楼层 (共18层),78.32,平层,62.84,板塔结合,西,钢混结构,其他,一梯四户,无
78.0,2室2厅1厨1卫,中楼层 (共18层),76.0,平层,68.0,板楼,南,未知结构,精装,一梯四户,无
97.8,2室1厅1厨1卫,高楼层 (共24层),89.34,平层,67.28,板塔结合,南,未知结构,毛坯,两梯四户,有
52.0,1室2厅1厨1卫,中楼层 (共11层),67.85,平层,54.9,板塔结合,南,钢混结构,简装,一梯十一户,无
45.0,2室1厅1厨1卫,低楼层 (共12层),61.84,平层,,,西南 东北,未知结构,简装,一梯八户,无
75.0,2室1厅1厨1卫,高楼层 (共15层),75.64,平层,60.48,板塔结合,南 北,钢混结构,其他,一梯六户,无
53.0,1室1厅1厨1卫,低楼层 (共17层),52.92,平层,,板塔结合,南,钢混结构,其他,一梯六户,有
86.0,2室2厅1厨1卫,高楼层 (共33层),71.19,平层,,,北,未知结构,精装,一梯五户,无
105.0,3室2厅1厨1卫,高楼层 (共24层),87.84,平层,,板塔结合,南 北,钢混结构,精装,一梯六户,无
75.0,2室2厅1厨1卫,低楼层 (共18层),82.03,平层,67.82,板塔结合,西北,未知结构,简装,一梯六户,无
48.0,2室2厅1厨1卫,低楼层 (共26层),77.02,平层,61.06,板塔结合,南,钢混结构,毛坯,一梯六户,无
95.0,3室2厅1厨1卫,高楼层 (共18层),99.37,平层,83.33,板塔结合,东 西,钢混结构,精装,一梯五户,无
75.0,2室2厅1厨1卫,中楼层 (共18层),75.08,平层,58.53,板塔结合,东南,框架结构,毛坯,两梯五户,有
88.0,2室1厅1厨1卫,中楼层 (共30层),87.47,平层,,板塔结合,南,钢混结构,简装,一梯六户,无
76.0,2室1厅1厨1卫,高楼层 (共17层),48.73,平层,34.65,板塔结合,北,钢混结构,毛坯,两梯十五户,有
85.0,3室2厅1厨1卫,低楼层 (共21层),94.04,平层,76.94,板塔结合,南 北,钢混结构,毛坯,一梯六户,无
70.0,2室2厅1厨1卫,中楼层 (共17层),84.0,平层,,板塔结合,南 北,钢混结构,精装,一梯五户,无
72.0,2室2厅1厨1卫,低楼层 (共18层),76.74,平层,62.59,板楼,南,未知结构,精装,一梯四户,无
132.0,3室2厅1厨2卫,高楼层 (共18层),108.14,平层,87.69,板塔结合,南 北,钢混结构,其他,一梯六户,无
90.0,2室2厅1厨1卫,高楼层 (共26层),73.53,平层,59.49,板楼,南,钢混结构,精装,两梯八户,有
58.0,2室1厅1厨1卫,低楼层 (共17层),76.87,平层,61.06,,南,未知结构,简装,一梯六户,无
65.0,2室2厅1厨1卫,中楼层 (共17层),71.07,平层,58.39,板塔结合,北,钢混结构,其他,一梯八户,无
