,金额,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯
101,95,3室2厅1厨2卫,高楼层 (共25层),93.76㎡,平层,73.72㎡,板塔结合,东南,钢混结构,其他,一梯九户,暂无数据
102,460,5室2厅1厨5卫,低楼层 (共3层),280.77㎡,,280㎡,,南 北,钢混结构,精装,,
103,538,5室2厅1厨3卫,低楼层 (共2层),301㎡,复式,301㎡,暂无数据,东 南 西 北,未知结构,精装,一梯一户,暂无数据
104,130,3室2厅1厨2卫,中楼层 (共17层),117.45㎡,平层,98.1㎡,板塔结合,南,钢混结构,精装,一梯六户,暂无数据
105,119,3室2厅1厨2卫,高楼层 (共18层),110.11㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有
106,88,3室2厅1厨1卫,高楼层 (共18层),114.79㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯五户,暂无数据
107,517,5室2厅1厨4卫,低楼层 (共2层),263.66㎡,,暂无数据,,南 北,钢混结构,毛坯,,
108,108,3室2厅1厨1卫,低楼层 (共18层),97.53㎡,平层,77.51㎡,板塔结合,南 北,未知结构,精装,两梯六户,有
109,115,3室2厅1厨2卫,中楼层 (共11层),114㎡,平层,暂无数据,板塔结合,东南 西北,未知结构,简装,一梯四户,有
110,121,3室2厅1厨2卫,中楼层 (共14层),101.8㎡,平层,84.4㎡,板楼,南 北,钢混结构,其他,一梯六户,暂无数据
111,246,3室2厅1厨3卫,低楼层 (共2层),97.62㎡,,暂无数据,,南 北,未知结构,精装,,
112,60,1室1厅1厨1卫,低楼层 (共18层),57.08㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯八户,有
113,59,1室2厅1厨1卫,中楼层 (共16层),69.63㎡,平层,52.53㎡,板楼,南,钢混结构,其他,两梯十八户,有
114,65,2室2厅1厨2卫,中楼层 (共18层),79.35㎡,平层,65.66㎡,板楼,北,钢混结构,毛坯,一梯六户,暂无数据
115,90,2室2厅1厨1卫,高楼层 (共26层),86.7㎡,平层,68.69㎡,板楼,西南,钢混结构,精装,一梯六户,暂无数据
116,112,4室2厅1厨2卫,中楼层 (共18层),96.96㎡,平层,78.52㎡,暂无数据,南 北,未知结构,精装,两梯六户,有
117,79,2室2厅1厨1卫,低楼层 (共19层),77.36㎡,平层,58.33㎡,暂无数据,南 北,未知结构,精装,一梯七户,暂无数据
118,85,2室1厅1厨1卫,高楼层 (共18层),81.33㎡,平层,暂无数据,塔楼,西南,未知结构,其他,一梯六户,暂无数据
119,63,1室2厅1厨1卫,高楼层 (共26层),64.42㎡,平层,49.38㎡,板楼,南,钢混结构,其他,两梯十户,有
120,85,2室1厅1厨1卫,低楼层 (共26层),72.67㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯八户,有
121,58,2室1厅1厨1卫,高楼层 (共22层),58.98㎡,平层,暂无数据,板塔结合,西北,钢混结构,其他,两梯七户,有
122,80,2室1厅1厨1卫,中楼层 (共23层),78.01㎡,平层,暂无数据,塔楼,东南 西南,框架结构,毛坯,两梯六户,有
123,117,3室2厅1厨1卫,中楼层 (共30层),117㎡,平层,暂无数据,板塔结合,南 北,未知结构,其他,两梯六户,有
124,156,3室2厅1厨2卫,低楼层 (共33层),128㎡,平层,暂无数据,塔楼,南,未知结构,其他,一梯四户,暂无数据
125,130,4室2厅1厨2卫,高楼层 (共17层),127.66㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯八户,暂无数据
126,90,2室2厅1厨1卫,低楼层 (共17层),91㎡,平层,暂无数据,暂无数据,东 南 西 北,未知结构,毛坯,一梯一户,暂无数据
127,166,3室1厅1厨2卫,中楼层 (共25层),127.81㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,两梯四户,有
128,60,1室1厅1厨1卫,低楼层 (共15层),59.7㎡,平层,46.7㎡,板塔结合,北,钢混结构,精装,两梯六户,有
129,68.8,2室1厅1厨1卫,低楼层 (共11层),66.21㎡,平层,54.9㎡,板塔结合,西北 北,钢混结构,精装,一梯十户,暂无数据
130,33,1室0厅1厨1卫,低楼层 (共7层),43.62㎡,平层,35.55㎡,板塔结合,南,钢混结构,精装,一梯十一户,暂无数据
131,55,1室1厅1厨1卫,低楼层 (共11层),67.37㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯十一户,有
132,152,3室2厅1厨2卫,低楼层 (共16层),115.53㎡,平层,91.65㎡,暂无数据,南,未知结构,精装,一梯三户,暂无数据
133,93,2室2厅1厨1卫,低楼层 (共18层),85.64㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯六户,有
134,85,2室2厅1厨1卫,中楼层 (共18层),76㎡,平层,暂无数据,板楼,南,未知结构,其他,一梯四户,暂无数据
135,98,2室2厅1厨1卫,低楼层 (共18层),85.1㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯四户,暂无数据
136,86,2室1厅1厨1卫,高楼层 (共18层),77.48㎡,平层,暂无数据,塔楼,西北,钢混结构,精装,两梯六户,有
137,88,2室2厅1厨1卫,低楼层 (共14层),79.8㎡,平层,63.99㎡,板塔结合,南,框架结构,精装,两梯六户,有
138,77,2室2厅1厨1卫,高楼层 (共18层),63.58㎡,平层,51.25㎡,板塔结合,南,钢混结构,其他,一梯六户,暂无数据
139,148,3室2厅1厨2卫,中楼层 (共26层),111.13㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有
140,81,2室2厅1厨1卫,中楼层 (共18层),76.47㎡,平层,63.36㎡,塔楼,东南,钢混结构,简装,两梯六户,有
141,318,4室2厅1厨3卫,低楼层 (共2层),185.86㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯十五户,暂无数据
142,152,4室2厅1厨2卫,中楼层 (共18层),144.07㎡,平层,123.7㎡,板楼,南 北,钢混结构,简装,两梯两户,有
143,95,3室2厅1厨1卫,高楼层 (共13层),118.73㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯八户,暂无数据
144,124,3室1厅1厨2卫,低楼层 (共16层),112.62㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯三户,有
145,146,3室2厅1厨2卫,低楼层 (共26层),104.39㎡,平层,85.58㎡,板楼,南,钢混结构,其他,两梯八户,有
146,97.5,3室2厅1厨2卫,低楼层 (共11层),114.63㎡,平层,99.31㎡,板塔结合,南 北,未知结构,简装,一梯四户,有
147,320,3室3厅1厨3卫,低楼层 (共2层),104.76㎡,复式,104.76㎡,暂无数据,南 北,未知结构,其他,一梯一户,暂无数据
148,150,3室1厅1厨2卫,中楼层 (共16层),115.66㎡,平层,暂无数据,板塔结合,东南,钢混结构,其他,两梯三户,有
149,175,5室1厅1厨1卫,高楼层 (共15层),178.61㎡,复式,143.96㎡,板塔结合,北,钢混结构,毛坯,两梯三户,有
150,295,4室2厅1厨3卫,低楼层 (共3层),176.15㎡,复式,暂无数据,暂无数据,南 北,未知结构,精装,一梯四户,暂无数据
151,550,4室2厅1厨3卫,低楼层 (共3层),241.02㎡,复式,241.02㎡,暂无数据,东 南 西 北,未知结构,精装,一梯一户,暂无数据
152,480,5室3厅1厨6卫,低楼层 (共3层),256.18㎡,,256.18㎡,,东 南 西 北,未知结构,精装,,
153,800,8室4厅3厨6卫,低楼层 (共3层),352.35㎡,,暂无数据,,东南,未知结构,其他,,
154,310,3室2厅1厨2卫,低楼层 (共3层),170.31㎡,复式,暂无数据,暂无数据,南,未知结构,其他,一梯一户,暂无数据
155,128,3室2厅1厨2卫,高楼层 (共18层),121.21㎡,平层,102.67㎡,板塔结合,东 南,钢混结构,精装,两梯三户,有
156,1600,5室2厅1厨4卫,低楼层 (共3层),326.58㎡,复式,暂无数据,暂无数据,南,未知结构,其他,一梯一户,暂无数据
157,360,4室2厅1厨3卫,低楼层 (共3层),176.08㎡,,暂无数据,,南,钢混结构,精装,,
158,990,5室3厅1厨4卫,低楼层 (共3层),256㎡,,246.06㎡,,东 南 西 北,未知结构,精装,,
159,132,3室1厅1厨2卫,高楼层 (共31层),119.88㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯六户,有
160,168,6室1厅1厨3卫,高楼层 (共25层),128㎡,跃层,暂无数据,板塔结合,南 北,钢混结构,其他,两梯四户,有
161,110,2室1厅1厨1卫,低楼层 (共24层),87.09㎡,平层,68.08㎡,板塔结合,南,钢混结构,毛坯,一梯四户,暂无数据
162,116,3室2厅1厨2卫,高楼层 (共18层),94.56㎡,平层,74.33㎡,板塔结合,南 北,钢混结构,精装,两梯六户,有
163,115,4室2厅1厨1卫,高楼层 (共15层),122.89㎡,平层,99.16㎡,板塔结合,南 北,钢混结构,精装,一梯四户,暂无数据
164,480,5室2厅1厨5卫,低楼层 (共3层),253.17㎡,,暂无数据,,北,钢混结构,精装,,
165,270,5室2厅1厨3卫,低楼层 (共6层),199㎡,复式,暂无数据,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据
166,213,3室2厅1厨1卫,低楼层 (共3层),148.61㎡,复式,暂无数据,板塔结合,北,钢混结构,毛坯,一梯八户,暂无数据
167,95,3室2厅1厨1卫,低楼层 (共12层),112.84㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯六户,暂无数据
168,430,5室2厅1厨3卫,低楼层 (共2层),316㎡,复式,暂无数据,暂无数据,南 北,未知结构,毛坯,一梯十二户,暂无数据
169,160,5室2厅1厨2卫,高楼层 (共11层),136.7㎡,跃层,112.51㎡,板塔结合,南,钢混结构,简装,一梯两户,暂无数据
170,350,3室2厅1厨3卫,低楼层 (共2层),198.73㎡,复式,暂无数据,板塔结合,南,钢混结构,其他,一梯十七户,暂无数据
171,600,5室3厅1厨3卫,低楼层 (共3层),246.85㎡,复式,246.85㎡,暂无数据,南 北,未知结构,简装,一梯一户,暂无数据
172,110,3室2厅1厨2卫,中楼层 (共18层),97㎡,平层,97㎡,暂无数据,南 北,未知结构,简装,一梯六户,暂无数据
173,113,3室2厅1厨2卫,中楼层 (共18层),92.61㎡,平层,75.19㎡,板塔结合,南,框架结构,精装,两梯六户,有
174,460,5室3厅1厨4卫,低楼层 (共3层),280.77㎡,,暂无数据,,南 北,未知结构,其他,,
175,60,1室1厅1厨1卫,中楼层 (共7层),66.15㎡,平层,54.9㎡,板塔结合,西北,钢混结构,精装,一梯十户,暂无数据
176,42,1室1厅1厨1卫,中楼层 (共16层),49.42㎡,平层,37.28㎡,板楼,南,钢混结构,简装,两梯十八户,有
177,52,1室2厅1厨1卫,中楼层 (共16层),69.63㎡,平层,52.53㎡,板楼,南,钢混结构,简装,两梯十八户,有
178,93,3室1厅1厨1卫,高楼层 (共33层),91.56㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯四户,暂无数据
179,125,3室1厅1厨1卫,中楼层 (共33层),109㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有
180,125,3室1厅1厨1卫,中楼层 (共33层),109㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有
181,118,3室2厅1厨1卫,高楼层 (共33层),108.67㎡,平层,82.28㎡,板塔结合,北,钢混结构,精装,两梯五户,有
182,90,2室1厅1厨1卫,中楼层 (共19层),83.61㎡,平层,62.81㎡,板塔结合,南,钢混结构,精装,两梯四户,有
183,108,2室2厅1厨1卫,高楼层 (共25层),73.76㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,一梯六户,暂无数据
184,95,2室2厅1厨1卫,低楼层 (共11层),89.98㎡,平层,73.54㎡,板楼,南 北,钢混结构,精装,一梯三户,有
185,88,2室2厅1厨1卫,高楼层 (共17层),81.17㎡,平层,66.69㎡,板塔结合,北,钢混结构,精装,一梯八户,暂无数据
186,87,2室1厅1厨1卫,中楼层 (共26层),86.7㎡,平层,68.69㎡,板楼,南 北,钢混结构,简装,两梯七户,有
187,95,2室2厅1厨1卫,中楼层 (共25层),78㎡,平层,暂无数据,板塔结合,东,钢混结构,其他,两梯七户,有
188,93,2室2厅1厨1卫,中楼层 (共33层),90.21㎡,平层,暂无数据,板塔结合,西南 东北,钢混结构,其他,两梯五户,有
189,90,2室2厅1厨1卫,中楼层 (共9层),97.87㎡,平层,81.15㎡,板塔结合,南 北,钢混结构,精装,一梯十户,暂无数据
190,105,2室2厅1厨1卫,中楼层 (共18层),86.13㎡,平层,70.96㎡,塔楼,西 南 东,钢混结构,简装,两梯六户,有
191,80,2室2厅1厨1卫,高楼层 (共14层),85.27㎡,平层,68.13㎡,板楼,南,钢混结构,毛坯,一梯五户,暂无数据
192,129,3室2厅1厨1卫,中楼层 (共18层),109.5㎡,平层,89.94㎡,板塔结合,南 北,钢混结构,精装,一梯四户,暂无数据
193,67,2室1厅1厨1卫,高楼层 (共12层),68.06㎡,平层,57.36㎡,板塔结合,南,钢混结构,简装,一梯六户,暂无数据
194,73,2室2厅1厨1卫,中楼层 (共18层),85.95㎡,平层,暂无数据,板塔结合,西,钢混结构,精装,一梯四户,暂无数据
195,91,2室2厅1厨1卫,低楼层 (共15层),90.28㎡,平层,73.92㎡,塔楼,东北,钢混结构,其他,一梯六户,暂无数据
196,100,2室2厅1厨1卫,中楼层 (共25层),73.44㎡,平层,暂无数据,板塔结合,北,钢混结构,其他,一梯六户,暂无数据
197,74,2室2厅1厨1卫,中楼层 (共31层),69.87㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯六户,有
198,85,2室2厅1厨1卫,低楼层 (共11层),90.8㎡,平层,74.42㎡,板塔结合,南,钢混结构,简装,一梯四户,暂无数据
199,80,2室2厅1厨1卫,高楼层 (共15层),86.2㎡,平层,暂无数据,塔楼,北,钢混结构,毛坯,两梯四户,有
200,279,4室2厅1厨3卫,低楼层 (共2层),171.56㎡,,163.87㎡,,南 北,钢混结构,毛坯,,
